rev,phase,rotation_tick,track,sector,pos,sync_mark,gap_class,expected_gap_class,region,header_data_boundary,expected_boundary,track_sync_density_rows,gap_class_mismatch_rows,header_data_boundary_errors,alloc_count,blocks_free
1541,track_layout,621,19,7,2,0,1,1,1,0,0,48,0,0,23,641
1541,track_layout,627,19,7,3,0,1,1,1,0,0,48,0,0,24,640
1541,track_layout,632,19,7,4,0,1,1,2,1,1,48,0,0,24,640
1541,track_layout,637,19,7,5,0,1,1,2,0,0,48,0,0,24,640
1541,track_layout,643,19,7,6,0,2,2,3,0,0,48,0,0,24,640
1541,track_layout,648,19,7,7,0,2,2,3,0,0,48,0,0,24,640
1541C,track_layout,2,17,0,0,1,0,0,1,0,0,1,0,0,0,664
1541C,track_layout,3,17,0,1,1,0,0,1,0,0,2,0,0,0,664
1541C,track_layout,4,17,0,2,0,1,1,1,0,0,2,0,0,0,664
1541C,track_layout,6,17,0,3,0,1,1,1,0,0,2,0,0,1,663
1541C,track_layout,7,17,0,4,0,1,1,2,1,1,2,0,0,1,663
1541C,track_layout,8,17,0,5,0,1,1,2,0,0,2,0,0,1,663
1541C,track_layout,10,17,0,6,0,2,2,3,0,0,2,0,0,1,663
1541C,track_layout,11,17,0,7,0,2,2,3,0,0,2,0,0,1,663
1541C,track_layout,13,17,1,0,1,0,0,1,0,0,3,0,0,1,663
1541C,track_layout,14,17,1,1,1,0,0,1,0,0,4,0,0,1,663
1541C,track_layout,15,17,1,2,0,1,1,1,0,0,4,0,0,1,663
1541C,track_layout,17,17,1,3,0,1,1,1,0,0,4,0,0,2,662
1541C,track_layout,18,17,1,4,0,1,1,2,1,1,4,0,0,2,662
1541C,track_layout,19,17,1,5,0,1,1,2,0,0,4,0,0,2,662
1541C,track_layout,21,17,1,6,0,2,2,3,0,0,4,0,0,2,662
1541C,track_layout,22,17,1,7,0,2,2,3,0,0,4,0,0,2,662
1541C,track_layout,24,17,2,0,1,0,0,1,0,0,5,0,0,2,662
1541C,track_layout,25,17,2,1,1,0,0,1,0,0,6,0,0,2,662
1541C,track_layout,26,17,2,2,0,1,1,1,0,0,6,0,0,2,662
1541C,track_layout,28,17,2,3,0,1,1,1,0,0,6,0,0,3,661
1541C,track_layout,29,17,2,4,0,1,1,2,1,1,6,0,0,3,661
1541C,track_layout,30,17,2,5,0,1,1,2,0,0,6,0,0,3,661
1541C,track_layout,32,17,2,6,0,2,2,3,0,0,6,0,0,3,661
1541C,track_layout,33,17,2,7,0,2,2,3,0,0,6,0,0,3,661
1541C,track_layout,35,17,3,0,1,0,0,1,0,0,7,0,0,3,661
1541C,track_layout,36,17,3,1,1,0,0,1,0,0,8,0,0,3,661
1541C,track_layout,37,17,3,2,0,1,1,1,0,0,8,0,0,3,661
1541C,track_layout,39,17,3,3,0,1,1,1,0,0,8,0,0,4,660
1541C,track_layout,40,17,3,4,0,1,1,2,1,1,8,0,0,4,660
1541C,track_layout,41,17,3,5,0,1,1,2,0,0,8,0,0,4,660
1541C,track_layout,43,17,3,6,0,2,2,3,0,0,8,0,0,4,660
1541C,track_layout,44,17,3,7,0,2,2,3,0,0,8,0,0,4,660
