rev,phase,step,cycles,mode,atn_level,clk_level,data_level,atn_rise_ticks,atn_fall_ticks,clk_rise_ticks,clk_fall_ticks,data_rise_ticks,data_fall_ticks,polarity_glitch,turnaround_ticks,iec_state,pending_rx,pending_tx,rx_processed,tx_served,cpu_step_count,cadence_gap_max
1541II,analog,54,55,1,550,220,510,0,0,4,1,0,2,0,0,2,0,70,5,1,14,5
1541II,analog,55,56,1,770,0,0,0,0,4,1,0,2,0,0,2,0,70,5,1,14,5
1541II,analog,56,57,1,990,0,0,0,0,4,1,0,2,0,0,2,0,70,5,1,15,5
1541II,analog,57,58,1,1000,0,0,0,0,4,1,0,2,0,0,2,0,70,5,1,15,5
1541II,analog,58,59,1,1000,0,0,0,0,4,1,0,2,0,0,2,0,70,5,1,15,5
1541II,analog,59,60,1,1000,180,170,0,0,4,1,0,2,0,0,2,0,70,5,1,15,5
1541II,analog,60,61,1,1000,360,340,0,0,4,1,0,2,0,0,2,0,70,5,1,16,5
1541II,analog,61,62,1,1000,540,510,0,0,4,1,0,2,0,0,2,0,70,5,1,16,5
1541II,analog,62,63,0,1000,720,680,0,0,4,1,0,2,0,0,0,0,70,5,1,17,5
1541II,analog,63,64,0,1000,220,160,0,0,4,1,0,2,0,0,0,0,70,5,1,17,5
1541II,analog,64,65,0,1000,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,17,5
1541II,analog,65,66,0,550,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,17,5
1541II,analog,66,67,0,770,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,17,5
1541II,analog,67,68,0,990,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,17,5
1541II,analog,68,69,0,1000,0,170,0,0,4,1,0,2,0,0,0,0,70,5,1,18,5
1541II,analog,69,70,0,1000,180,0,0,0,4,1,0,2,0,0,0,0,70,5,1,18,5
1541II,analog,70,71,0,1000,360,170,0,0,4,1,0,2,0,0,0,0,70,5,1,19,5
1541II,analog,71,72,0,1000,540,340,0,0,4,1,0,2,0,0,0,0,70,5,1,19,5
1541II,analog,72,73,0,1000,720,510,0,0,4,1,0,2,0,0,0,0,70,5,1,19,5
1541II,analog,73,74,0,1000,220,0,0,0,4,1,0,2,0,0,0,0,70,5,1,19,5
1541II,analog,74,75,0,1000,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,19,5
1541II,analog,75,76,0,1000,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,19,5
1541II,analog,76,77,0,550,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,20,5
1541II,analog,77,78,0,770,180,170,0,0,4,1,0,2,0,0,0,0,70,5,1,20,5
1541II,analog,78,79,0,990,0,340,0,0,4,1,0,2,0,0,0,0,70,5,1,20,5
1541II,analog,79,80,0,1000,180,510,0,0,4,1,0,2,0,0,0,0,70,5,1,20,5
