phase,cycle,pixel,op,bus_window,fetch,tick_actions,predicate_mask,fetch_plan,commit_plan,addr_formula0,addr_formula1
PHI1,28,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,28,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,28,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,28,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,28,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,29,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,29,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,29,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,29,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,29,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,29,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,29,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,29,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,30,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,30,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,30,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,30,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,30,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,30,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,30,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,30,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,31,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,31,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,31,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,31,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,31,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,31,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,31,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
